variableMetadata	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	bio	blank	isotopes	adduct	pcgroup	fold	tstat	pvalue	blank_mean	blank_sd	blank_CV	sample_mean	sample_sd	sample_CV	blankMean_over_sampleMean	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M194.0633T285	194.063316	194.0568989	194.0653591	284.7513434	275.5819108	294.3248611	367	200	0			1472	445.1513403	-23.33562877	0	178.2886272	591.0508365	3.315134823	1.98447491	0.295301645	0.148805935	89.84171393	77439.7321	7488.805335	0.096704949	0.649872927
M194.7575T296	194.757512	194.7516388	194.7608822	296.3630983	278.4847732	297.0076259	64	61	0			3069	241.8168099	-13.6778683	0	83.59374142	283.274945	3.38870997	1.15413572	0.648183768	0.561618324	72.42973246	22276.04399	4377.614508	0.196516693	0.34991147
M194.9263T67	194.9263484	194.9222349	194.9294337	66.95492791	59.68571361	80.92623879	363	210	0		[M+Cl]- 159.955	8	4407.746635	-18.36268702	0	2439.415217	2340.752542	0.959554784	4.133980296	0.386126544	0.093403092	590.0887384	11949267.27	2052990.353	0.17180889	1.839434713
M194.9374T59	194.937372	194.9363436	194.9458894	59.17451592	48.46090872	86.70424625	345	209	8			3790	39.11278815	-24.09092552	0	58901.38142	68563.22246	1.164034201	3.458045704	0.380417625	0.110009426	17033.14139	2484274.977	324890.5156	0.130778806	1.188796364
M195.0289T310	195.0289393	195.0230536	195.0309977	309.689499	289.9041108	316.5891568	26	25	0			93	191.488059	-17.7020938	0	5234.084862	6748.319204	1.289302597	2.937333847	0.548673367	0.186792988	1781.916914	1358646.039	59465.28371	0.043768047	0.234313115
M195.032T91	195.0320269	195.0292287	195.0343748	91.19733748	86.96517648	94.81308726	51	51	0			5615	36.83576001	-10.92728743	0	2350.611648	3002.834427	1.27746939	1.858153111	0.480543088	0.258613289	1265.025812	68299.57288	16115.62963	0.235955057	0.912385662
M195.0403T301	195.0402611	195.0364333	195.0412904	300.6327151	295.2983377	301.5353156	257	190	0			264	18.17726086	-10.2173327	0	10267.05569	29280.62513	2.851900877	2.233208392	0.476394038	0.213322698	4597.446316	192416.2404	23033.11622	0.119704637	0.561143462
M195.0406T279	195.0405505	195.0371732	195.0415798	278.7055238	269.2214886	279.7689593	23	23	0	[122][M]-		453	380.7185272	-11.72750654	0	4335.768344	5681.633916	1.310409935	3.024933402	0.749251077	0.24769176	1433.343406	1893424.737	458029.208	0.241905157	0.976637887
M195.0498T56	195.0498145	195.0498145	195.0505544	55.88492604	53.69327634	57.2022326	229	210	19	[123][M]-	[M-H+HCOOH]- 150.051	70	33.11000512	-29.12393485	0	131298.5966	128763.2373	0.980690127	3.776677938	0.223117194	0.059077633	34765.63231	4169690.085	74332.53022	0.017826872	0.301753316
M195.0508T296	195.0508439	195.0477558	195.0526132	296.3255015	286.4749251	302.3740913	256	210	13	[124][M]-	[M-H]- 196.059	103	115.0575542	-17.62125214	0	103661.2318	112127.4332	1.08167182	4.105563552	0.376635702	0.091737881	25248.96532	13219775.54	684092.6852	0.051747678	0.564081893
